movieName,releaseMonth,dailyBox
喜羊羊与灰太狼之飞马奇遇记,01,310.98
喜羊羊与灰太狼之飞马奇遇记,01,443.21
喜羊羊与灰太狼之飞马奇遇记,01,311.31
喜羊羊与灰太狼之飞马奇遇记,01,263.29
喜酒,01,0.02
喜酒,01,0.02
四大名捕,01,0.01
四大名捕,01,0.01
四大名捕,01,0.01
四大名捕,01,0.01
四大名捕,01,0.02
四大名捕,01,0.01
四大名捕,01,0.02
四大名捕,01,0.01
国酒,01,124.47
国酒,01,117.1
国酒,01,122.89
国酒,01,114.76
国酒,01,120.56
国酒,01,85.25
国酒,01,57.67
国酒,01,32.4
国酒,01,12.41
国酒,01,17.76
国酒,01,14.88
国酒,01,10.23
国酒,01,13.09
国酒,01,29.68
圣杯神器：骸骨之城,01,3.04
圣杯神器：骸骨之城,01,437.55
圣杯神器：骸骨之城,01,645.96
圣杯神器：骸骨之城,01,549.31
圣杯神器：骸骨之城,01,283.12
圣杯神器：骸骨之城,01,158.41
圣杯神器：骸骨之城,01,153.17
圣杯神器：骸骨之城,01,156.43
圣杯神器：骸骨之城,01,80.04
圣杯神器：骸骨之城,01,80.87
圣杯神器：骸骨之城,01,73.6
圣杯神器：骸骨之城,01,39.61
圣杯神器：骸骨之城,01,43.99
地下室惊魂,01,72.11
地下室惊魂,01,55.26
地下室惊魂,01,36.59
地下室惊魂,01,46.35
地下室惊魂,01,32.53
地下室惊魂,01,32.87
地下室惊魂,01,27.01
地下室惊魂,01,12.23
地下室惊魂,01,12.46
地下室惊魂,01,12.76
地下室惊魂,01,9.16
地下室惊魂,01,11.32
地下室惊魂,01,9.77
坚不可摧,01,458.09
坚不可摧,01,547.78
夏日恋神马,01,0.07
夏日恋神马,01,0.02
夏日恋神马,01,0.04
夏日恋神马,01,0.02
夏日恋神马,01,0.03
夏日恋神马,01,0.01
夏日恋神马,01,0.02
夏日恋神马,01,0.02
夏日恋神马,01,0.02
夜宴,01,0.01
夜宴,01,0.02
夜宴,01,0.01
夜宴,01,0.04
夜店诡谈,01,0.06
夜店诡谈,01,0.04
夜店诡谈,01,0.01
夜店诡谈,01,0.01
夜店诡谈,01,0.0
夜店诡谈,01,0.01
夜店诡谈,01,0.02
夜店诡谈,01,0.03
大上海,01,1036.08
大上海,01,941.63
大上海,01,719.43
大上海,01,667.21
