relName,mediaName
尚敬,饭局也疯狂
尚永峰,床下有人3
尹丽川,与时尚同居
尹力,雨中的树
尹博,完美超越
尹哲,都是手机惹的祸
尹哲,勿忘初心
尹志文,杀手欧阳盆栽
尹志文,醉后一夜
尼克·鲍威尔,公路美人
尼克·鲍威尔,白幽灵传奇之绝命逃亡
尼古拉·列别捷夫,火海凌云
尼古拉斯·斯托勒,逗鸟外传：萌宝满天飞
尼古拉斯·斯托勒,逗鸟外传
尼基尔·阿德瓦尼,动物也疯狂
尼尔·博格,永无止境
尼尔·博格,分歧者：异类觉醒
尼尔·布洛姆坎普,极乐空间
尼尔·布洛姆坎普,超能查派
尼尔森·申,青蛙王国
尼玛·诺里扎德,废柴特工
尼莫洛德·安塔尔,激战运钞车
屈建龙,租婚男女
山下宏幸,火影忍者剧场版：博人传
山姆·菲尔,绝地逃亡
山姆·雷米,魔境仙踪
山姆·雷米,超凡蜘蛛侠
山崎贵,哆啦A梦：伴我同行
山崎贵,寄生兽
山本泰一郎,名侦探柯南2011：沉默的15分钟
岑俊义,奔跑吧！兄弟
岳晓琳,顺风车
岳松,超级保镖
岳松,街头之王
崔东勋,暗杀
崔东勋,夺宝联盟
崔健,蓝色骨头
崔守杰,人在征途
崔磊,终极硬汉
崔立新,大震撼
崔轶,爱的“蟹”逅
崔龄燕,简单爱
巴兹·鲁尔曼,了不起的盖茨比
巴塔萨·科马库,绝命海拔
巴巴克·纳加非,伦敦陷落
巴里·索南菲尔德,九条命
巴里·索南菲尔德,黑衣人3
布伦达·查普曼,勇敢传说
布拉德·伯德,明日世界
布拉德·伯德,碟中谍4
布拉德·佩顿,地心历险记2：神秘岛
布拉德·佩顿,末日崩塌
布拉德·刘易斯,赛车总动员2
布拉德·福尔曼,林肯律师
布瑞克·埃斯纳尔,最后的巫师猎人
布莱恩·泰勒,灵魂战车2：复仇时刻
布莱恩·辛格,X战警：天启
布莱恩·辛格,巨人捕手杰克
布莱恩·辛格,X战警：逆转未来
布莱特·拉特纳,王者之剑3D
布莱特·拉特纳,宙斯之子：赫拉克勒斯
帕斯卡·莫莱利,王子与108煞
帕特里克·卢西尔,狂暴飞车
帕翠西娅·里根,地心营救
常光希,青蛙王国之冰冻大冒险
常晓阳,水滴之梦
广春兰,燃烧的生命
庄文强,关云长
庄文强,窃听风云2
庄文强,听风者
庄文强,窃听风云3
庄红胜,大山的女儿
康与江,凤凰谷
康与江,生死底线
康博,爱拼北京
康宁,等爱归来
康康,十万伙急
康拉德·弗农,马达加斯加3
康新春,吉祥宝宝之我是食神
廉涛,孤岛
廖明毅,那些年，我们一起追的女孩
弓子,逆境王牌
弗拉基米尔·缅绍夫,冰美人
弗朗西斯·劳伦斯,饥饿游戏3：嘲笑鸟（下）
弗朗西斯·劳伦斯,饥饿游戏3：嘲笑鸟（上）
弗朗西斯·劳伦斯,饥饿游戏2:星火燎原
弗洛里安·亨克尔·冯·多纳斯马,致命伴旅
张一墨,爱情碰碰撞
张一墨,别跟我谈高富帅
张一白,越来越好之村晚
张一白,从你的全世界路过
张一白,匆匆那年
张一白,奔爱
张一白,将爱情进行到底
张之亮,白发魔女传之明月天国
张之亮,肩上蝶
张也弛,蜡笔总动员
张伟,味道中国
张伟国,五女拜寿
张侃文,双生记之误入总裁身
张侨勇,千锤百炼
张元,有种
张全欣,幸福迷途
张力,诡拼车
张力,守梦者
张力,拼车惊情
张力,月色狰狞
张力,诡八楼
张加贝,绑架大明星
张勇谋,线索
张哲洙,蜜月酒店杀人事件
张哲秀,蜜月酒店杀人事件
张唯,打工老板
张坤一,夜魔人
张天晓,恐龙宝贝
张天辉,追凶者也
张太维,梦想合伙人
张夷非,情回鹭岛
张夷非,火海逃生
张婉婷,三城记
张少军,荒村怨灵
张峻程,美人邦
张帆,迷魂之密室逃脱
张帆,诡宅
张常青,丑小鸭历险记
张建亚,钱学森
张建成,妈妈们的青春往事
张忠,小西天狄道传奇
张恒,宝贝女儿好妈妈之吃记忆的大雪球
张扬,年兽大作战
张承,最佳嫌疑人
张承,一念天堂
张振益,新大头儿子和小头爸爸2一日成才
张敏,放手爱
张敏,澳门风云2
张新亚,夺樽
张新武,狼兵吼
张时霖,变身超人
张明,小猪班纳大电影之梦想大“帽”险
张春,大鱼海棠
张晓春,社区民警故事
张杨,飞越老人院
张林子,情敌蜜月
张楠,梦行者
张江南,古曼
张江南,午夜火车
张洋,恐怖将映
张津涛,铁马飞扬
张涛,阴阳先生之末代天师
张源,黑客悲情
张猛,钢的琴
张猛,一切都好
张猛,胜利
张猛,奔爱
张玉中,百团大战
张玉中,风云1927
张玉中,雷锋的微笑
张玉中,忠诚与背叛
张玮真,234说爱你
张琦,睡在我上铺的兄弟
张琦,HOLD住爱
张琦,夺命心跳
张瑜,云之锦
张番番,密室之不可靠岸
张皓,命中注定
张秉君,熊出没之熊心归来
张秉坚,东北偏北
张立嘉,给野兽献花
张继龙,血彩
张自立,分手达人
张艺谋,金陵十三钗
张艺谋,王朝的女人·杨贵妃
张艺谋,红高粱
张艺谋,归来
张艺飞,姑鲁之恋
张艺飞,我是大明星
张艺飞,缘来是咱俩
张艾嘉,念念
张若以,俐侎阿朵
张荣吉,逆光飞翔
