directorrate,castrate1,castrate2,theme1,theme2,theme3,year,month,day,boxtotal,product1,product2,product3,totalBox14,isHoliday
0,3,66873,41,0,0,2014,5,30,2596,43,54,0,2378,1
39862,0,0,41,0,0,2014,5,30,2186,62,63,0,1921,1
1463,0,0,41,0,0,2014,5,31,4365,12,16,21,3855,1
574,0,0,41,0,0,2014,5,31,358,68,112,133,328,1
0,22,254926,18,20,32,2014,6,1,28,0,0,0,22,1
491542,86,612940,46,0,0,2014,6,6,498,58,0,0,461,0
34639,28,411379,45,46,0,2014,6,6,441,0,0,0,408,0
969650,7,351036,37,44,0,2014,6,6,40642,1,0,0,34412,0
1857,24,68660,36,42,0,2014,6,13,1348,26,0,0,1269,0
124916,39,765849,21,37,44,2014,6,13,48142,1,93,125,46616,0
0,28,267164,38,39,42,2014,6,20,637,74,138,0,621,0
0,16,168425,39,42,0,2014,6,20,195,0,0,0,191,0
0,12,502789,25,40,44,2014,6,20,29624,1,6,0,25241,0
0,34,560426,40,43,44,2014,6,27,55,3,0,0,46,0
0,18,173048,45,46,0,2014,7,4,168,70,0,0,44,0
0,2,1999,41,46,0,2014,7,4,24,139,0,0,20,0
0,25,653760,38,43,0,2014,7,4,2083,1,0,0,1904,0
0,31,747233,12,38,0,2014,7,8,319,1,24,0,293,0
0,0,0,41,0,0,2014,7,10,4788,12,17,21,4508,0
0,50,342350,38,43,46,2014,7,11,146,0,0,0,100,0
72279,5,30327,41,0,0,2014,7,18,2803,12,21,0,2704,0
0,8,651517,26,27,29,2014,7,18,68,1,0,0,59,0
16472,26,377436,45,46,0,2014,8,1,280,12,139,0,277,0
59914,14,175290,21,32,41,2014,8,9,32,0,0,0,26,1
0,15,143245,30,45,0,2014,8,15,1093,16,128,0,1076,0
0,61,639624,44,0,0,2014,8,16,9525,8,22,81,9123,0
0,0,0,40,41,45,2014,8,21,1762,1,0,0,1756,0
0,15,114389,46,0,0,2014,8,22,254,0,0,0,251,0
0,12,91053,46,0,0,2014,8,26,12,0,0,0,12,0
0,7,216587,45,46,0,2014,8,28,702,30,0,0,700,1
0,48,1001734,33,46,0,2014,8,29,213,16,0,0,212,1
358932,67,342439,45,46,0,2014,8,29,104,0,0,0,102,1
113157,16,243212,39,46,0,2014,8,29,48,92,0,0,47,1
0,50,479680,40,44,45,2014,8,29,26,0,0,0,25,1
0,8,451597,37,44,0,2014,8,29,70925,1,4,0,57222,1
0,5,30094,41,0,0,2014,9,5,216,0,0,0,192,1
6670,18,188639,30,39,42,2014,9,5,48,12,0,0,42,1
0,14,655873,41,0,0,2014,9,5,990,1,0,0,796,1
0,5,290707,41,44,0,2014,9,5,621,1,0,0,551,1
0,0,0,41,0,0,2014,9,6,1172,29,0,0,923,1
292446,16,545082,37,40,44,2014,9,8,7677,38,0,0,7135,1
0,42,164553,45,46,0,2014,9,12,77,77,0,0,70,0
3071,13,183542,46,0,0,2014,9,12,56,0,0,0,53,0
0,10,445522,21,42,44,2014,9,12,11041,1,0,0,10121,0
0,64,301149,26,34,0,2014,9,18,29,124,0,0,24,1
4963909,15,388667,42,46,0,2014,9,19,729,10,28,0,681,1
0,0,0,41,0,0,2014,10,3,59,0,0,0,52,1
0,63,807219,45,46,0,2014,10,14,50,0,0,0,44,0
441715,2,24468,43,0,0,2014,10,16,18,0,0,0,13,0
0,4,2152,36,42,0,2014,10,17,602,74,0,0,577,0
752521,19,646620,40,44,0,2014,10,21,8282,1,13,0,8135,0
0,45,388658,35,46,0,2014,10,24,1668,19,0,0,1644,0
959976,99,1752288,40,44,45,2014,10,24,1413,1,0,0,1409,0
959976,106,2144267,40,44,45,2014,10,24,1025,1,0,0,1022,0
0,10,365435,37,39,0,2014,10,28,15064,1,4,0,13536,0
0,13,46586,36,39,42,2014,10,31,360,12,58,0,351,0
0,64,807428,46,0,0,2014,11,7,637,129,0,0,424,0
0,4,501194,39,42,0,2014,11,7,96,0,0,0,94,0
0,90,507382,44,46,0,2014,11,7,84,0,0,0,79,0
379269,41,419025,45,46,0,2014,11,11,72,33,0,0,68,0
1619303,23,724852,24,37,39,2014,11,12,75537,1,13,125,54135,0
